update,total_steps,FPS,mean_reward,median_reward,min_reward,max_reward
530,4232080,103,-0.7088666666666666,-0.752,-0.986,0.003
531,4240080,103,-0.5879333333333333,-0.714,-0.978,0.002
532,4248080,103,-0.6458666666666667,-0.7555000000000001,-0.986,0.003
533,4256080,103,-0.5402,-0.657,-0.986,0.003
534,4264080,103,-0.4578999999999999,-0.49050000000000005,-0.992,0.003
535,4272080,103,-0.5028,-0.547,-0.992,0.131
536,4280080,103,-0.4522000000000001,-0.423,-0.986,0.131
537,4288080,103,-0.5218666666666667,-0.5985,-0.994,0.003
538,4296080,103,-0.5034333333333334,-0.5755,-0.986,0.002
539,4304080,103,-0.4873,-0.5445,-0.984,0.003
540,4312080,103,-0.5041666666666665,-0.572,-0.976,0.003
541,4320080,103,-0.6608666666666666,-0.733,-0.977,0.002
